BA9_CODDOE;BA9_DOENCA;BA9_ABREVI;BA9_RESTSE;BA9_CAUOBT;BA9_REFERE
H160;ULCERA DE CORNEA;H16.0 ULCERA DE CORNEA;;N;
H161;OUTRAS CERATITES SUPERFICIAIS SEM CONJUNTIVITE;H16.1 OUTR CERATITES SUPE;;N;
H162;CERATOCONJUNTIVITE;H16.2 CERATOCONJUNTIVITE;;N;
H163;CERATITES INTERSTICIAL E PROFUNDA;H16.3 CERATITES INTERSTIC;;N;
H164;NEOVASCULARIZACAO DA CORNEA;H16.4 NEOVASCULARIZACAO D;;N;
H168;OUTRAS CERATITES;H16.8 OUTR CERATITES;;N;
H169;CERATITE NAO ESPECIFICADA;H16.9 CERATITE NE;;N;
H17;CICATRIZES E OPACIDADES DA CORNEA;H17 CICATRIZES E OPACID;;;
H170;LEUCOMA ADERENTE;H17.0 LEUCOMA ADERENTE;;N;
H171;OUTRA OPACIDADE CENTRAL DA CORNEA;H17.1 OUTR OPACIDADE CENT;;N;
H178;OUTRAS CICATRIZES E OPACIDADES DA CORNEA;H17.8 OUTR CICATRIZES E O;;N;
H179;CICATRIZ E OPACIDADE NAO ESPECIFICADAS DA CORNEA;H17.9 CICATRIZ E OPACIDAD;;N;
H18;OUTROS TRANSTORNOS DA CORNEA;H18 OUTR TRANST DA CORN;;;
H180;PIGMENTACOES E DEPOSITOS DA CORNEA;H18.0 PIGMENTACOES E DEPO;;N;
H181;CERATOPATIA BOLHOSA;H18.1 CERATOPATIA BOLHOSA;;N;
H182;OUTROS EDEMAS DA CORNEA;H18.2 OUTR EDEMAS DA CORN;;N;
H183;ALTERACOES NAS MEMBRANAS DA CORNEA;H18.3 ALTERACOES NAS MEMB;;N;
H184;DEGENERACOES DA CORNEA;H18.4 DEGENERACOES DA COR;;N;
H185;DISTROFIAS HEREDITARIAS DA CORNEA;H18.5 DISTROFIAS HEREDITA;;N;
H186;CERATOCONE;H18.6 CERATOCONE;;N;
H187;OUTRAS DEFORMIDADES DA CORNEA;H18.7 OUTR DEFORM DA CORN;;N;
H188;OUTROS TRANSTORNOS ESPECIFICADOS DA CORNEA;H18.8 OUTR TRANST ESPEC D;;N;
H189;TRANSTORNO NAO ESPECIFICADO DA CORNEA;H18.9 TRANST NE DA CORNEA;;N;
H19;TRANSTORNO DA ESCLEROTICA E DA CORNEA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H19 TRANST DA ESCLEROTI;;;
H190;ESCLERITE E EPISCLERITE EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H19.0 ESCLERITE E EPISCLE;;;
H191;CERATITE E CERATOCONJUNTIVITE PELO VIRUS DO HERPES SIMPLES;H19.1 CERATITE CERATOCONJ;;;B00.5 
H192;CERATITE E CERATOCONJUNTIVITE EM OUTRAS DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;H19.2 CERAT CERATOCONJ OU;;;
H193;CERATITE E CERATOCONJUNTIVITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;H19.3 CERATITE CERATOCONJ;;;
H198;OUTROS TRANSTORNOS DE ESCLEROTICA E DA CORNEA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H19.8 OUTR TRANST DE ESCL;;;
H20;IRIDOCICLITE;H20 IRIDOCICLITE;;;
H200;IRIDOCICLITE AGUDA E SUBAGUDA;H20.0 IRIDOCICLITE AGUDA;;N;
H201;IRIDOCICLITE CRONICA;H20.1 IRIDOCICLITE CRONIC;;N;
H202;IRIDOCICLITE INDUZIDA PELO CRISTALINO;H20.2 IRIDOCICLITE INDUZ;;N;
H208;OUTRAS IRIDOCICLITES;H20.8 OUTR IRIDOCICLITES;;N;
H209;IRIDOCICLITE NAO ESPECIFICADA;H20.9 IRIDOCICLITE NE;;N;
H21;OUTROS TRANSTORNOS DA IRIS E DO CORPO CILIAR;H21 OUTR TRANST DA IRIS;;;
H210;HIFEMA;H21.0 HIFEMA;;N;
H211;OUTROS TRANSTORNOS VASCULARES DA IRIS E DO CORPO CILIAR;H21.1 OUTR TRANST VASCULA;;N;
H212;DEGENERACOES DA IRIS E DO CORPO CILIAR;H21.2 DEGENERACOES DA IRI;;N;
H213;CISTOS DA IRISDO CORPO CILIAR E DA CAMARA ANTERIOR;H21.3 CISTOS IRIS CORPO C;;N;
H214;MEMBRANAS PUPILARES;H21.4 MEMBRANAS PUPILARES;;N;
H215;OUTRAS ADERENCIAS E ROTURAS DA IRIS E DO CORPO CILIAR;H21.5 OUTR ADERENCIAS E R;;N;
H218;OUTROS TRANSTORNOS ESPECIFICADOS DA IRIS E DO CORPO CILIAR;H21.8 OUTR TRANST ESPEC D;;N;
H219;TRANSTORNO NAO ESPECIFICADO DA IRIS E DO CORPO CILIAR;H21.9 TRANST NE DA IRIS E;;N;
H22;TRANSTORNOS DA IRIS E DO CORPO CILIAR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H22 TRANST DA IRIS E DO;;;
H220;IRIDOCICLITE EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;H22.0 IRIDOCICLITE EM DOE;;;
H221;IRIDOCICLITE EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;H22.1 IRIDOCICLITE EM OUT;;;
H228;OUTROS TRANSTORNOS DA IRIS E DO CORPO CILIAR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H22.8 OUTR TRANST DA IRIS;;;
H25;CATARATA SENIL;H25 CATARATA SENIL;;;
H250;CATARATA SENIL INCIPIENTE;H25.0 CATARATA SENIL INCI;;N;
H251;CATARATA SENIL NUCLEAR;H25.1 CATARATA SENIL NUCL;;N;
H252;CATARATA SENIL TIPO MORGAGNI;H25.2 CATARATA SENIL TIPO;;N;
H258;OUTRAS CATARATAS SENIS;H25.8 OUTR CATARATAS SENI;;N;
H259;CATARATA SENIL NAO ESPECIFICADA;H25.9 CATARATA SENIL NE;;N;
H26;OUTRAS CATARATAS;H26 OUTR CATARATAS;;;
H260;CATARATA INFANTILJUVENIL E PRE SENIL;H26.0 CATARATA INFANTIL J;;N;
H261;CATARATA TRAUMATICA;H26.1 CATARATA TRAUM;;N;
H262;CATARATA COMPLICADA;H26.2 CATARATA COMPLICADA;;N;
H263;CATARATA INDUZIDA POR DROGAS;H26.3 CATARATA INDUZ P DR;;N;
H264;POS CATARATA;H26.4 POS CATARATA;;N;
H268;OUTRAS CATARATAS ESPECIFICADAS;H26.8 OUTR CATARATAS ESPE;;N;
H269;CATARATA NAO ESPECIFICADA;H26.9 CATARATA NE;;N;
H27;OUTROS TRANSTORNOS DO CRISTALINO;H27 OUTR TRANST DO CRIS;;;
H270;AFACIA;H27.0 AFACIA;;N;
H271;DESLOCAMENTO DO CRISTALINO;H27.1 DESLOCAMENTO DO CRI;;N;
H278;OUTROS TRANSTORNOS ESPECIFICADOS DO CRISTALINO;H27.8 OUTR TRANST ESPEC D;;N;
H279;TRANSTORNO NAO ESPECIFICADO DO CRISTALINO;H27.9 TRANST NE DO CRISTA;;N;
H28;CATARATA E OUTROS TRANSTORNOS DO CRISTALINO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H28 CATARATA E OUTR TRA;;;
H280;CATARATA DIABETICA;H28.0 CATARATA DIABETICA;;;E10 E14C
H281;CATARATA EM OUTRAS DOENCAS ENDOCRINASNUTRICIONAIS E METABOLICAS;H28.1 CATARATA OUTR DOENC;;;
H282;CATARATA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;H28.2 CATARATA EM OUTR DO;;;
H288;OUTROS TRANSTORNO DO CRISTALINO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H28.8 OUTR TRANST DO CRIS;;;
H30;INFLAMACAO CORIORRETINIANA;H30 INFLAM CORIORRETINI;;;
H300;INFLAMACAO CORIORRETINIANA FOCAL;H30.0 INFLAM CORIORRETINI;;N;
H301;INFLAMACAO CORRORRETINIANA DISSEMINADA;H30.1 INFLAM CORRORRETINI;;N;
H302;CICLITE POSTERIOR;H30.2 CICLITE POSTERIOR;;N;
H308;OUTRAS INFLAMACOES CORIORRETINIANAS;H30.8 OUTR INFLAM CORIORR;;N;
H309;INFLAMACAO NAO ESPECIFICADA DA COROIDE E DA RETINA;H30.9 INFLAM NE DA COROID;;N;
H31;OUTROS TRANSTORNOS DA COROIDE;H31 OUTR TRANST DA CORO;;;
H310;CICATRIZES CORIORRETINIANAS;H31.0 CICATRIZES CORIORRE;;N;
H311;DEGENERACAO DA COROIDE;H31.1 DEGENERACAO DA CORO;;N;
H312;DISTROFIA HEREDITARIA DA COROIDE;H31.2 DISTROFIA HEREDITAR;;N;
H313;HEMORRAGIA E ROTURA DA COROIDE;H31.3 HEMORRAGIA E ROTURA;;N;
H314;DESCOLAMENTO DA COROIDE;H31.4 DESCOLAMENTO DA COR;;N;
H318;OUTROS TRANSTORNOS ESPECIFICADOS DA COROIDE;H31.8 OUTR TRANST ESPEC D;;N;
H319;TRANSTORNO NAO ESPECIFICADO DA COROIDE;H31.9 TRANST NE DA COROID;;N;
H32;TRANSTORNOS CORIORRETINIANOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H32 TRANST CORIORRETINI;;;
H320;INFLAMACAO CORIORRETINIANA EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;H32.0 INFLAM CORIORRETIN;;;
H328;OUTROS TRANSTORNOS CORIORRETINIANOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H32.8 OUTR TRANST CORIORR;;;
H33;DESCOLAMENTOS E DEFEITOS DA RETINA;H33 DESCOLAMENTOS E DEF;;;
H330;DESCOLAMENTO DA RETINA COM DEFEITO RETINIANO;H33.0 DESCOLAMENTO DA RET;;N;
H331;RETINOSQUISE E CISTOS DA RETINA;H33.1 RETINOSQUISE E CIST;;N;
H332;DESCOLAMENTO SEROSO DA RETINA;H33.2 DESCOLAMENTO SEROSO;;N;
H333;DEFEITOS DA RETINA SEM DESCOLAMENTO;H33.3 DEFEITOS DA RETINA;;N;
H334;DESCOLAMENTO DA RETINA POR TRACAO;H33.4 DESCOLAMENTO DA RET;;N;
H335;OUTROS DESCOLAMENTOS DA RETINA;H33.5 OUTR DESCOLAMENTOS;;N;
H34;OCLUSOES VASCULARES DA RETINA;H34 OCLUSOES VASCULARES;;;
H340;OCLUSAO ARTERIAL RETINIANA TRANSITORIA;H34.0 OCLUSAO ARTERIAL RE;;N;
H341;OCLUSAO DA ARTERIA RETINIANA CENTRAL;H34.1 OCLUSAO DA ARTERIA;;N;
H342;OUTRAS OCLUSOES DA ARTERIA RETINIANA;H34.2 OUTR OCLUSOES DA AR;;N;
H348;OUTRAS OCLUSOES VASCULARES RETINIANAS;H34.8 OUTR OCLUSOES VASCU;;N;
H349;OCLUSAO VASCULAR RETINIANA NAO ESPECIFICADA;H34.9 OCLUSAO VASCULAR RE;;N;
H35;OUTROS TRANSTORNOS DA RETINA;H35 OUTR TRANST DA RETI;;;
H350;RETINOPATIAS DE FUNDO E ALTERACOES VASCULARES DA RETINA;H35.0 RETINOPATIAS DE FUN;;N;
H351;RETINOPATIA DA PREMATURIDADE;H35.1 RETINOPATIA DA PREM;;N;
H352;OUTRAS RETINOPATIAS PROLIFERATIVAS;H35.2 OUTR RETINOPATIAS P;;N;
H353;DEGENERACAO DA MACULA E DO POLO POSTERIOR;H35.3 DEGENERACAO DA MACU;;N;
H354;DEGENERACOES PERIFERICAS DA RETINA;H35.4 DEGENERACOES PERIFE;;N;
H355;DISTROFIAS HEREDITARIAS DA RETINA;H35.5 DISTROFIAS HEREDITA;;N;
H356;HEMORRAGIA RETINIANA;H35.6 HEMORRAGIA RETINIAN;;N;
H357;SEPARACAO DAS CAMADAS DA RETINA;H35.7 SEPARACAO DAS CAMAD;;N;
H358;OUTROS TRANSTORNOS ESPECIFICADOS DA RETINA;H35.8 OUTR TRANST ESPEC D;;N;
H359;TRANSTORNO DA RETINA NAO ESPECIFICADO;H35.9 TRANST DA RETINA NE;;N;
H36;TRANSTORNOS DA RETINA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H36 TRANST DA RETINA EM;;;
H360;RETINOPATIA DIABETICA;H36.0 RETINOPATIA DIABETI;;;E10 E14C
H368;OUTROS TRANSTORNOS RETINIANOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H36.8 OUTR TRANST RETINIA;;;
H40;GLAUCOMA;H40 GLAUCOMA;;;
H400;SUSPEITA DE GLAUCOMA;H40.0 SUSPEITA DE GLAUCOM;;N;
H401;GLAUCOMA PRIMARIO DE ANGULO ABERTO;H40.1 GLAUCOMA PRIM DE AN;;N;
H402;GLAUCOMA PRIMARIO DE ANGULO FECHADO;H40.2 GLAUCOMA PRIM DE AN;;N;
H403;GLAUCOMA SECUNDARIO A TRAUMATISMO OCULAR;H40.3 GLAUCOMA SECUND A T;;N;
H404;GLAUCOMA SECUNDARIO A INFLAMACAO OCULAR;H40.4 GLAUCOMA SECUND A I;;N;
H405;GLAUCOMA SECUNDARIO A OUTROS TRANSTORNOS DO OLHO;H40.5 GLAUCOMA SECUND A O;;N;
H406;GLAUCOMA SECUNDARIO A DROGAS;H40.6 GLAUCOMA SECUND A D;;N;
H408;OUTRO GLAUCOMA;H40.8 OUTR GLAUCOMA;;N;
H409;GLAUCOMA NAO ESPECIFICADO;H40.9 GLAUCOMA NE;;N;
H42;GLAUCOMA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H42 GLAUCOMA EM DOENC C;;;
H420;GLAUCOMA EM DOENCAS ENDOCRINASNUTRICIONAIS E METABOLICAS CLASSIFICADAS EM OUTRA PARTE;H42.0 GLAUCOMA EM DOENC E;;;
H428;GLAUCOMA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;H42.8 GLAUCOMA EM OUTR DO;;;
H43;TRANSTORNOS DO HUMOR VITREO;H43 TRANST DO HUMOR VIT;;;
H430;PROLAPSO DO HUMOR VITREO;H43.0 PROLAPSO DO HUMOR V;;N;
H431;HEMORRAGIA DO HUMOR VITREO;H43.1 HEMORRAGIA DO HUMOR;;N;
H432;DEPOSITOS CRISTALINOS NO HUMOR VITREO;H43.2 DEPOSITOS CRISTALIN;;N;
H433;OUTRAS OPACIDADES DO VITREO;H43.3 OUTR OPACIDADES DO;;N;
H438;OUTROS TRANSTORNOS DO HUMOR VITREO;H43.8 OUTR TRANST DO HUMO;;N;
H439;TRANSTORNO NAO ESPECIFICADO DO HUMOR VITREO;H43.9 TRANST NE DO HUMOR;;N;
H44;TRANSTORNOS DO GLOBO OCULAR;H44 TRANST DO GLOBO OCU;;;
H440;ENDOFTALMITE PURULENTA;H44.0 ENDOFTALMITE PURULE;;;
H441;OUTRAS ENDOFTALMITES;H44.1 OUTR ENDOFTALMITES;;;
H442;MIOPIA DEGENERATIVA;H44.2 MIOPIA DEGENERATIVA;;;
H443;OUTROS TRANSTORNOS DEGENERATIVOS DO GLOBO OCULAR;H44.3 OUTR TRANST DEGENER;;;
H444;HIPOTONIA DO OLHO;H44.4 HIPOTONIA DO OLHO;;;
H445;AFECCOES DEGENERATIVAS DO GLOBO OCULAR;H44.5 AFECCOES DEGENERATI;;;
H446;CORPO ESTRANHO RETIDOANTIGOINTRA OCULAR DE NATUREZA MAGNETICA;H44.6 CORPO ESTRANHO RETI;;;
H447;CORPO ESTRANHO RETIDOANTIGOINTRA OCULAR DE NATUREZA NAO MAGNETICA;H44.7 CORPO ESTRANHO RET;;;
H448;OUTROS TRANSTORNOS DO GLOBO OCULAR;H44.8 OUTR TRANST DO GLOB;;;
H449;TRANSTORNO NAO ESPECIFICADO DO GLOBO OCULAR;H44.9 TRANST NE DO GLOBO;;;
H45;TRANSTORNOS DO HUMOR VITREO E DO GLOBO OCULAR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H45 TRANST HUMOR VITREO;;;
H450;HEMORRAGIA VITREA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H45.0 HEMORRAGIA VITREA E;;;
H451;ENDOFTALMITE EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H45.1 ENDOFTALMITE EM DOE;;;
H458;OUTROS TRANSTORNOS DO HUMOR VITREO E DO GLOBO OCULAR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H45.8 OUTR TRANST HUMOR V;;;
H46;NEURITE OPTICA;H46 NEURITE OPTICA;;;
H46;NEURITE OPTICA;H46 NEURITE OPTICA;;N;
H47;OUTROS TRANSTORNOS DO NERVO OPTICO E DAS VIAS OPTICAS;H47 OUTR TRANST DO NERV;;;
H470;TRANSTORNOS DO NERVO OPTICO NAO CLASSIFICADOS EM OUTRA PARTE;H47.0 TRANST DO NERVO OPT;;N;
H471;PAPILEDEMA NAO ESPECIFICADO;H47.1 PAPILEDEMA NE;;N;
H472;ATROFIA OPTICA;H47.2 ATROFIA OPTICA;;N;
H473;OUTROS TRANSTORNOS DO DISCO OPTICO;H47.3 OUTR TRANST DO DISC;;N;
H474;TRANSTORNOS DO QUIASMA OPTICO;H47.4 TRANST DO QUIASMA O;;N;
H475;TRANSTORNOS DE OUTRAS VIAS OPTICAS;H47.5 TRANST DE OUTR VIAS;;N;
H476;TRANSTORNOS DO CORTEX VISUAL;H47.6 TRANST DO CORTEX VI;;N;
H477;TRANSTORNOS NAO ESPECIFICADOS DAS VIAS OPTICAS;H47.7 TRANST NE DAS VIAS;;N;
H48;TRANSTORNOS DO NERVO OPTICOSEGUNDO PARE DAS VIAS OPTICAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H48 TRANST NERVO OPTICO;;;
H480;ATROFIA OPTICA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H48.0 ATROFIA OPTICA EM D;;;
H481;NEURITE RETROBULBAR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H48.1 NEURITE RETROBULBAR;;;
H488;OUTROS TRANSTORNOS DO NERVO OPTICO E DAS VIAS OPTICAS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H48.8 OUTR TRANST NERVO O;;;
H49;ESTRABISMO PARALITICO;H49 ESTRABISMO PARALITI;;;
H490;PARALISIA DO TERCEIRO PAROCULOMOTOR;H49.0 PARALISIA DO TERCEI;;N;
H491;PARALISIA DO QUARTO PARTROCLEAR;H49.1 PARALISIA DO QUARTO;;N;
H492;PARALISIA DO SEXTO PARABDUCENTE;H49.2 PARALISIA DO SEXTO;;N;
H493;OFTALMOPLEGIA TOTALEXTERNA;H49.3 OFTALMOPLEGIA TOTAL;;N;
H494;OFTALMOPLEGIA EXTERNA PROGRESSIVA;H49.4 OFTALMOPLEGIA EXTER;;N;
H498;OUTROS ESTRABISMOS PARALITICOS;H49.8 OUTR ESTRABISMOS PA;;N;
H499;ESTRABISMO PARALITICO NAO ESPECIFICADO;H49.9 ESTRABISMO PARALITI;;N;
H50;OUTROS ESTRABISMOS;H50 OUTR ESTRABISMOS;;;
H500;ESTRABISMO CONVERGENTE CONCOMITANTE;H50.0 ESTRABISMO CONVERGE;;N;
H501;ESTRABISMO DIVERGENTE CONCOMITANTE;H50.1 ESTRABISMO DIVERGEN;;N;
H502;ESTRABISMO VERTICAL;H50.2 ESTRABISMO VERTICAL;;N;
H503;HETEROTROPIA INTERMITENTE;H50.3 HETEROTROPIA INTERM;;N;
H504;OUTRAS HETEROTROPIAS E AS NAO ESPECIFICADAS;H50.4 OUTR HETEROTROPIAS;;N;
H505;HETEROFORIA;H50.5 HETEROFORIA;;N;
H506;ESTRABISMO MECANICO;H50.6 ESTRABISMO MECANICO;;N;
H508;OUTROS ESTRABISMOS ESPECIFICADOS;H50.8 OUTR ESTRABISMOS ES;;N;
H509;ESTRABISMO NAO ESPECIFICADO;H50.9 ESTRABISMO NE;;N;
H51;OUTROS TRANSTORNOS DO MOVIMENTO BINOCULAR;H51 OUTR TRANST DO MOVI;;;
H510;PARALISIA DO OLHAR CONJUGADO;H51.0 PARALISIA DO OLHAR;;N;
H511;INSUFICIENCIA OU EXCESSO DE CONVERGENCIA;H51.1 INSUF OU EXCESSO DE;;N;
H512;OFTALMOPLEGIA INTERNUCLEAR;H51.2 OFTALMOPLEGIA INTER;;N;
H518;OUTROS TRANSTORNOS ESPECIFICADOS DO MOVIMENTO BINOCULAR;H51.8 OUTR TRANST ESPEC D;;N;
H519;TRANSTORNO NAO ESPECIFICADO DO MOVIMENTO BINOCULAR;H51.9 TRANST NE DO MOVIME;;N;
H52;TRANSTORNOS DA REFRACAO E DA ACOMODACAO;H52 TRANST DA REFRACAO;;;
H520;HIPERMETROPIA;H52.0 HIPERMETROPIA;;N;
H521;MIOPIA;H52.1 MIOPIA;;N;
H522;ASTIGMATISMO;H52.2 ASTIGMATISMO;;N;
H523;ANISOMETROPIA E ANISEICONIA;H52.3 ANISOMETROPIA E ANI;;N;
H524;PRESBIOPIA;H52.4 PRESBIOPIA;;N;
H525;TRANSTORNOS DA ACOMODACAO;H52.5 TRANST DA ACOMODACA;;N;
H526;OUTROS TRANSTORNOS DA REFRACAO;H52.6 OUTR TRANST DA REFR;;N;
H527;TRANSTORNO NAO ESPECIFICADO DA REFRACAO;H52.7 TRANST NE DA REFRAC;;N;
H53;DISTURBIOS VISUAIS;H53 DISTURBIOS VISUAIS;;;
H530;AMBLIOPIA POR ANOPSIA;H53.0 AMBLIOPIA P ANOPSIA;;N;
H531;DISTURBIOS VISUAIS SUBJETIVOS;H53.1 DISTURBIOS VISUAIS;;N;
H532;DIPLOPIA;H53.2 DIPLOPIA;;N;
H533;OUTROS TRANSTORNOS DA VISAO BINOCULAR;H53.3 OUTR TRANST DA VISA;;N;
H534;DEFEITOS DO CAMPO VISUAL;H53.4 DEFEITOS DO CAMPO V;;N;
H535;DEFICIENCIAS DA VISAO CROMATICA;H53.5 DEFIC DA VISAO CROM;;N;
H536;CEGUEIRA NOTURNA;H53.6 CEGUEIRA NOTURNA;;N;
H538;OUTROS DISTURBIOS VISUAIS;H53.8 OUTR DISTURBIOS VIS;;N;
H539;DISTURBIO VISUAL NAO ESPECIFICADO;H53.9 DISTURBIO VISUAL NE;;N;
H54;CEGUEIRA E VISAO SUBNORMAL;H54 CEGUEIRA E VISAO SU;;;
H540;CEGUEIRAAMBOS OS OLHOS;H54.0 CEGUEIRA AMBOS OS O;;N;
H541;CEGUEIRA EM UM OLHO E VISAO SUBNORMAL EM OUTRO;H54.1 CEGUEIRA UM OLHO E;;N;
H542;VISAO SUBNORMAL DE AMBOS OS OLHOS;H54.2 VISAO SUBNORMAL DE;;N;
H543;PERDA NAO QUALIFICADA DA VISAO EM AMBOS OS OLHOS;H54.3 PERDA NAO QUALIFICA;;N;
H544;CEGUEIRA EM UM OLHO;H54.4 CEGUEIRA EM UM OLHO;;N;
H545;VISAO SUBNORMAL EM UM OLHO;H54.5 VISAO SUBNORMAL EM;;N;
H546;PERDA NAO QUALIFICADA DA VISAO EM UM OLHO;H54.6 PERDA NAO QUALIFICA;;N;
H547;PERDA NAO ESPECIFICADA DA VISAO;H54.7 PERDA NE DA VISAO;;N;
H55;NISTAGMO E OUTROS MOVIMENTOS IRREGULARES DO OLHO;H55 NISTAGMO E OUTR MOV;;;
H55;NISTAGMO E OUTROS MOVIMENTOS IRREGULARES DO OLHO;H55 NISTAGMO E OUTR MOV;;N;
H57;OUTROS TRANSTORNOS DO OLHO E ANEXOS;H57 OUTR TRANST DO OLHO;;;
H570;ANOMALIAS DA FUNCAO PUPILAR;H57.0 ANOMALIAS DA FUNCAO;;N;
H571;DOR OCULAR;H57.1 DOR OCULAR;;N;
H578;OUTROS TRANSTORNOS ESPECIFICADOS DO OLHO E ANEXOS;H57.8 OUTR TRANST ESPEC D;;N;
H579;TRANSTORNO NAO ESPECIFICADO DO OLHO E ANEXOS;H57.9 TRANST NE DO OLHO E;;N;
H58;OUTROS TRANSTORNOS DO OLHO E ANEXOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H58 OUTR TRANST DO OLHO;;;
H580;ANOMALIAS DA FUNCAO PUPILAR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H58.0 ANOMALIAS DA FUNCAO;;;
H581;DISTURBIOS VISUAIS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H58.1 DISTURBIOS VISUAIS;;;
H588;OUTROS TRANSTORNOS ESPECIFICADOS DO OLHO E ANEXOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H58.8 OUTR TRANST ESPEC D;;;
H59;TRANSTORNOS DO OLHO E ANEXOS POS PROCEDIMENTO NAO CLASSIFICADOS EM OUTRA PARTE;H59 TRANST DO OLHO E AN;;;
H590;CEROPATIABOLHOSA AFACICASUBSEQ_ENTE A CIRURGIA DE CATARATA;H59.0 CEROPATIA SUBSEQ A;;;
H598;OUTROS TRANSTORNOS DO OLHO E ANEXOS POS PROCEDIMENTOS;H59.8 OUTR TRANST DO OLHO;;;
H599;TRANSTORNO NAO ESPECIFICADO DO OLHO E ANEXOS POS PROCEDIMENTO;H59.9 TRANST NE DO OLHO E;;;
H60;OTITE EXTERNA;H60 OTITE EXTERNA;;;
H600;ABSCESSO DO OUVIDO EXTERNO;H60.0 ABSCESSO DO OUVIDO;;N;
H601;CELULITE DO OUVIDO EXTERNO;H60.1 CELULITE DO OUVIDO;;N;
H602;OTITE EXTERNA MALIGNA;H60.2 OTITE EXTERNA MALIG;;N;
H603;OUTRAS OTITES EXTERNAS INFECCIOSAS;H60.3 OUTR OTITES EXTERNA;;N;
H604;COLESTEATOMA DO OUVIDO EXTERNO;H60.4 COLESTEATOMA DO OUV;;N;
H605;OTITE EXTERNA AGUDA NAO INFECCIOSA;H60.5 OTITE EXTERNA AGUDA;;N;
H608;OUTRAS OTITES EXTERNAS;H60.8 OUTR OTITES EXTERNA;;N;
H609;OTITE EXTERNA NAO ESPECIFICADA;H60.9 OTITE EXTERNA NE;;N;
H61;OUTROS TRANSTORNOS DO OUVIDO EXTERNO;H61 OUTR TRANST DO OUVI;;;
H610;PERICONDRITE DO PAVILHAO DA ORELHA;H61.0 PERICONDRITE DO PAV;;N;
H611;TRANSTORNOS NAO INFECCIOSOS DO PAVILHAO DA ORELHA;H61.1 TRANST NAO INFECC D;;N;
H612;CERUME IMPACTADO;H61.2 CERUME IMPACTADO;;N;
H613;ESTENOSE ADQUIRIDA DO CONDUTO AUDITIVO EXTERNO;H61.3 ESTENOSE ADQUIR DO;;N;
H618;OUTROS TRANSTORNOS ESPECIFICADOS DO OUVIDO EXTERNO;H61.8 OUTR TRANST ESPEC D;;N;
H619;TRANSTORNO NAO ESPECIFICADO DO OUVIDO EXTERNO;H61.9 TRANST NE DO OUVIDO;;N;
H62;TRANSTORNOS DO OUVIDO EXTERNO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H62 TRANST DO OUVIDO EX;;;
H620;OTITE EXTERNA EM DOENCAS BACTERIANAS CLASSIFICADAS EM OUTRA PARTE;H62.0 OTITE EXTERNA EM DO;;;
H621;OTITE EXTERNA EM DOENCAS VIRAIS CLASSIFICADAS EM OUTRA PARTE;H62.1 OTITE EXTERNA EM DO;;;
H622;OTITE EXTERNA EM MICOSES;H62.2 OTITE EXTERNA EM MI;;;
H623;OTITE EXTERNA EM OUTRAS DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE;H62.3 OTITE EXTERNA OUTR;;;
H624;OTITE EXTERNA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE;H62.4 OTITE EXTERNA EM OU;;;
H628;OUTROS TRANSTORNOS DO OUVIDO EXTERNO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE;H62.8 OUTR TRANST DO OUVI;;;
